Displaced,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
0,1,0,0,18,12.75,0,Dropout
1,1,0,0,22,14.8,15.8,Graduate
1,1,0,0,22,13.928,14.34285714,Graduate
0,0,0,0,20,13,13.8,Dropout
0,1,0,0,29,0,0,Dropout
0,1,0,0,24,11.5,14.33333333,Graduate
1,1,0,0,18,11.66666667,13.2,Graduate
1,1,0,1,22,13.51666667,13.77142857,Graduate
0,1,0,1,21,11.5,13.28571429,Graduate
0,1,0,1,19,12.33333333,12.83333333,Graduate
0,1,0,1,24,13.66666667,14.16666667,Graduate
1,1,0,1,19,11.83333333,11.83333333,Graduate
1,1,0,1,20,14,11,Graduate
0,1,0,0,19,14.71428571,15.8,Graduate
0,1,0,0,27,10.6,11,Dropout
1,1,0,0,18,13.04444444,13.595,Graduate
0,1,0,0,39,0,0,Dropout
1,1,0,0,27,13,12.9,Dropout
1,1,0,0,18,14.935,14.935,Graduate
1,1,0,0,18,0,0,Graduate
0,1,0,0,18,13.13333333,12.22142857,Graduate
0,1,0,1,21,12,12,Graduate
1,1,1,1,19,0,0,Graduate
1,1,1,0,19,11.4,10,Graduate
0,1,1,0,24,0,0,Graduate
1,1,1,0,29,11.9,11,Dropout
1,1,1,1,19,0,0,Graduate
1,1,1,0,23,12.57142857,12.42857143,Graduate
0,1,1,0,19,11.2,10.75,Dropout
0,1,1,0,26,12,10.8,Graduate
0,1,1,0,18,0,0,Graduate
0,1,1,0,24,11.975,13.75,Graduate
1,1,1,0,19,0,0,Dropout
1,1,1,0,18,11.66666667,12,Dropout
1,1,1,0,18,12.33333333,12.33333333,Graduate
1,1,1,0,18,10.33333333,10.85714286,Dropout
1,1,1,1,21,10.5,11,Dropout
1,1,1,1,19,13.66666667,13.33333333,Graduate
0,1,1,1,22,14.84285714,15.05555556,Graduate
0,1,1,0,33,12,11.66666667,Graduate
1,1,1,0,20,12.2,12.2,Dropout
1,1,1,0,35,0,0,Dropout
0,1,1,0,24,12.16666667,13.3,Dropout
0,1,1,0,18,12,11.33333333,Graduate
1,1,0,0,33,11,11,Graduate
1,1,0,1,22,13.08,13.08,Graduate
0,1,0,1,25,10.5,11.6,Graduate
1,1,1,0,20,10.66666667,11.2,Graduate
1,1,1,0,23,14,13.8,Graduate
1,1,1,0,18,10,0,Graduate
0,1,1,0,24,0,0,Dropout
1,0,0,0,21,14,13.5,Graduate
0,1,0,0,26,12,0,Dropout
0,1,0,0,39,12.66666667,0,Dropout
0,1,0,0,44,11.875,12.33333333,Graduate
1,1,1,0,19,14,13.25,Graduate
1,1,0,0,18,13.66666667,13.33333333,Graduate
1,1,0,1,18,13.75,14.47777778,Graduate
1,1,0,0,19,14.2,13.8,Graduate
1,0,0,0,19,11.96,0,Dropout
0,1,0,0,21,12.875,13.4,Dropout
1,1,0,0,20,0,0,Graduate
1,1,0,0,36,0,0,Dropout
0,1,0,0,43,14.63157895,14.23076923,Graduate
1,1,0,0,19,0,0,Dropout
0,1,0,0,20,13,12.27272727,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,20,14.2,13.25,Dropout
1,1,0,0,20,13.26666667,12.3,Dropout
1,1,0,0,20,11.66666667,13,Graduate
1,1,0,0,18,13.85714286,15,Graduate
1,1,0,1,18,13,11,Graduate
1,1,0,0,19,13.4,12.8,Graduate
1,1,0,0,18,12.66666667,12.57142857,Graduate
1,1,0,0,18,12.51666667,12.51666667,Dropout
0,1,0,0,20,11.61666667,13,Graduate
1,1,0,1,20,10,10.75,Graduate
0,1,0,0,20,10.33333333,10.66666667,Graduate
0,1,0,0,18,13.14285714,11.4,Graduate
0,1,0,0,18,12.6,14,Graduate
1,1,0,0,21,11,11,Dropout
1,1,0,0,19,10.8,11.25,Graduate
0,1,0,0,19,0,0,Dropout
0,1,0,1,19,12.8,14.2,Graduate
1,1,0,0,19,14.16666667,12.2,Graduate
1,1,0,0,19,12.1,0,Dropout
1,1,0,0,20,14.16666667,13.77777778,Graduate
1,1,0,1,18,12.8,13.4,Graduate
1,1,0,0,18,13,13.66666667,Graduate
1,1,0,0,19,13.46714286,15.01111111,Graduate
1,1,0,1,18,13.2375,13.74285714,Dropout
1,1,0,0,18,12.33333333,13,Graduate
1,1,0,0,19,12.4,14.6,Graduate
1,1,0,0,19,14,0,Dropout
0,1,0,0,20,11.66666667,11.71428571,Graduate
0,0,0,1,19,12,12.5,Dropout
1,1,0,0,20,12.2,11.5,Graduate
0,1,0,1,18,14.83333333,14.83333333,Graduate
0,1,0,1,20,13.188,12.89285714,Graduate
0,1,0,0,18,17.125,17.5875,Graduate
1,1,0,0,19,12.66666667,12.66666667,Graduate
1,1,0,1,19,12.66666667,12,Graduate
1,0,0,0,22,0,0,Graduate
1,1,0,1,19,11.33333333,11.5,Graduate
1,1,0,1,19,13.605,12.33125,Graduate
1,1,0,1,19,12,10.8,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,20,11.2,11.66666667,Dropout
0,1,0,0,18,13.375,14.16666667,Graduate
0,1,0,1,20,13.86333333,14.17857143,Graduate
1,1,0,0,18,0,0,Graduate
0,1,0,0,19,12.4,13.4,Graduate
1,1,0,0,18,12.33333333,10.83333333,Graduate
1,1,0,0,18,13.33333333,11.8,Graduate
1,1,0,0,21,12.66666667,10,Dropout
0,1,0,0,19,12,11.5,Dropout
0,1,0,1,18,10.6,11.8,Graduate
1,1,0,1,18,12.25,11.85714286,Graduate
1,1,0,0,20,11,11.83333333,Graduate
0,1,0,1,24,11,12.6,Graduate
0,1,0,0,19,13.16666667,13,Dropout
1,1,0,1,18,12.85555556,12.76111111,Graduate
1,1,0,0,18,14.91875,15.355,Graduate
1,1,0,0,21,11.5,11,Dropout
0,1,0,0,19,14.2,14.2,Graduate
0,1,0,1,19,12.5,13,Graduate
0,1,0,0,47,0,0,Graduate
0,1,0,0,19,11.66666667,11,Graduate
0,1,0,0,29,14.25714286,14.25714286,Graduate
1,1,0,0,21,12,11.33333333,Dropout
1,1,0,0,28,11.25,10.5,Graduate
0,1,0,0,20,12.45714286,13.5625,Graduate
1,1,0,0,19,11.68333333,11.68333333,Graduate
0,1,0,0,26,11.66666667,12,Graduate
1,0,0,0,20,11.75,13.16666667,Dropout
1,1,0,1,18,11.66666667,13.5,Graduate
0,1,0,0,27,13.2,12,Graduate
1,1,0,0,20,11.95,11.95,Dropout
1,1,0,0,18,12.4,10.4,Dropout
0,1,0,0,33,14.35,14.58333333,Dropout
1,1,0,0,35,12.61904762,12.78947368,Graduate
0,1,0,1,26,12.66666667,13.16666667,Graduate
0,0,0,0,27,12,0,Dropout
1,0,0,0,19,12.16666667,0,Dropout
0,1,0,0,20,0,0,Dropout
1,0,0,0,20,10,10.57142857,Dropout
0,0,0,0,21,11.5,10,Graduate
1,1,0,1,18,13.05,13.05,Graduate
1,1,0,0,24,11,0,Dropout
1,1,0,0,20,11.5,12,Graduate
0,1,0,1,21,12,12.5,Graduate
0,1,0,0,23,10,10,Graduate
1,1,0,0,24,0,0,Dropout
0,1,0,0,21,0,0,Dropout
1,1,0,0,18,12.24285714,12.24285714,Graduate
1,1,0,0,27,0,0,Dropout
1,1,0,0,18,12.93375,12.93375,Graduate
0,1,0,0,35,0,0,Dropout
0,1,0,0,18,12.57142857,14.42857143,Graduate
0,1,0,0,35,11.81666667,11.33333333,Graduate
1,1,0,0,19,13.75,14.33333333,Graduate
1,1,0,0,20,11.16666667,11.33333333,Graduate
1,1,0,0,18,12.32428571,12.32428571,Graduate
0,1,0,0,21,12.16666667,11.71428571,Graduate
0,1,0,1,18,11.14285714,11.25,Graduate
1,1,0,0,18,11,10.75,Graduate
1,1,0,0,18,12.91428571,12.91428571,Graduate
1,1,0,1,18,13.83333333,14.16666667,Graduate
1,1,0,0,19,13.85714286,13.4,Graduate
0,1,0,1,36,13.71428571,12.8,Dropout
1,1,0,1,18,12.64285714,12.64285714,Graduate
0,1,0,1,18,12.91666667,12.91666667,Graduate
1,1,0,1,20,15.625,15.85714286,Graduate
0,1,0,1,26,0,0,Dropout
0,1,0,0,21,11.71428571,12,Graduate
0,1,0,0,25,12.125,13.3125,Graduate
1,1,0,1,19,11.6,11.6,Graduate
1,1,0,0,24,10,0,Dropout
0,1,0,1,27,10,0,Dropout
0,1,0,0,21,0,13.5,Dropout
0,1,0,1,18,13,12.33333333,Graduate
0,1,0,1,19,13.33333333,14.5,Graduate
1,1,0,0,18,11.25,12.5,Dropout
0,1,0,1,19,13.85,12.19285714,Graduate
1,1,0,1,19,13.74166667,14.9125,Graduate
0,1,0,0,33,15.33333333,15.8,Graduate
0,1,0,0,45,11,13.8,Graduate
0,1,0,1,20,12,12.85714286,Graduate
1,1,0,0,28,0,0,Dropout
1,1,0,1,19,11.57142857,11.57142857,Graduate
1,1,0,0,18,12.85714286,12.66666667,Graduate
0,1,0,0,38,0,0,Dropout
0,1,0,0,19,13,13.2,Graduate
0,1,0,1,21,11,12,Graduate
0,1,0,0,21,12,15,Dropout
0,1,0,1,22,12.6,13,Graduate
0,1,0,1,18,13.4,13.16666667,Graduate
0,1,0,1,18,11.33333333,11.57142857,Graduate
1,0,0,0,25,13.5,14.25,Dropout
0,0,0,0,24,11.75,10.33333333,Dropout
1,1,0,0,19,12.47142857,11.4625,Graduate
1,1,0,0,24,12.90909091,13.55555556,Graduate
1,1,0,1,20,11.6,13.6,Graduate
0,0,0,0,25,0,0,Dropout
0,1,0,1,20,12.9,12.36363636,Graduate
0,1,0,0,23,13.22,13.22,Graduate
1,1,0,1,19,13.15142857,13.15142857,Graduate
0,0,0,0,29,12.75,11.33333333,Dropout
1,1,0,0,21,11.33333333,12.25,Graduate
1,1,0,1,18,13.25,14.14285714,Graduate
1,1,0,0,19,12.4,12.4,Graduate
1,1,0,1,18,15,12.83333333,Dropout
0,1,0,0,19,14.4,13,Graduate
1,1,0,0,18,11,0,Graduate
0,1,0,0,18,12.4,10.8,Graduate
1,0,0,1,37,16,0,Dropout
0,1,0,0,29,13.57142857,12.33333333,Graduate
0,1,0,0,18,11.83333333,12.5,Graduate
1,1,0,1,19,11.66666667,12.66666667,Graduate
1,0,0,0,22,11.83333333,13,Dropout
0,1,0,1,20,11.16666667,10.6,Graduate
0,1,0,0,34,0,0,Dropout
0,0,0,0,30,11.75,12.16666667,Dropout
0,1,0,0,18,14,14,Graduate
0,1,0,0,18,12.83333333,12,Graduate
1,1,0,0,18,12.25,11.66666667,Graduate
1,1,0,0,18,14.82857143,14.82857143,Graduate
1,1,0,1,19,11.4,12.8,Graduate
1,1,0,1,19,13,12.5,Graduate
0,1,0,1,18,13.67142857,13.67142857,Graduate
0,1,0,1,21,12.66666667,12.8,Graduate
1,0,0,0,20,10,13,Dropout
1,1,0,0,20,13.5,12.33333333,Graduate
0,1,0,0,19,12.67,13.55,Graduate
0,1,0,0,20,14.5,15.42857143,Graduate
1,1,0,0,18,13.68571429,15.3875,Graduate
0,1,0,0,20,11,10.66666667,Dropout
0,0,0,0,29,11.55555556,13.2,Dropout
0,1,0,1,18,13.79714286,13.775,Graduate
1,1,0,1,20,14.00375,13.81285714,Graduate
1,1,0,1,22,12,11.4,Graduate
1,1,0,1,47,14.16666667,14.16666667,Graduate
0,1,0,0,31,14,13.8,Graduate
0,1,0,1,21,13.8,12.83333333,Graduate
0,1,0,0,21,12.8,11.85714286,Graduate
0,1,0,0,24,12.16666667,13.83333333,Graduate
0,1,0,0,18,12.5,12.33333333,Graduate
0,1,0,0,32,12,11.5,Graduate
1,1,0,1,19,10.83333333,11.5,Graduate
1,1,0,0,24,13.385,13.385,Graduate
1,1,0,0,19,15.66666667,14.5,Graduate
0,1,0,1,19,14.33333333,13.83333333,Graduate
0,1,0,0,24,11.42857143,13,Graduate
1,1,0,1,18,11.66666667,11.66666667,Graduate
1,1,0,1,19,12,11.33333333,Dropout
0,1,0,1,19,14.72571429,14.72571429,Graduate
1,1,0,1,18,14.16666667,13.66666667,Graduate
1,1,0,0,18,11.57142857,12.33333333,Graduate
1,1,0,0,20,12.5,13.1375,Graduate
0,1,0,0,18,12.86,12.86,Graduate
1,1,0,0,18,12.25,13.71428571,Graduate
1,1,0,1,21,12,12.2,Graduate
0,1,0,1,18,15.11666667,16.16888889,Graduate
0,0,0,0,18,12.5,10.25,Dropout
1,1,0,0,19,0,0,Dropout
1,1,0,0,19,11,11,Graduate
1,1,0,0,18,11.875,14.6,Graduate
1,1,0,0,34,11,0,Dropout
0,1,0,0,19,15.2,13.2,Graduate
1,0,0,0,19,11.6,11,Dropout
0,1,0,0,26,14.83333333,15.14285714,Graduate
1,1,0,0,21,11.33333333,11.33333333,Dropout
0,1,0,1,18,11.2,11.8,Graduate
1,1,0,1,20,13.4,13.66666667,Graduate
0,1,0,0,25,10.5,0,Dropout
0,1,0,0,18,16.2,16.4,Graduate
1,1,0,1,18,14.54285714,14.88181818,Graduate
0,1,0,0,19,13.69428571,14.35555556,Graduate
0,1,0,1,18,11.28571429,11.85714286,Graduate
0,1,0,0,20,11.75714286,13.08333333,Graduate
0,0,0,0,26,0,0,Dropout
1,1,0,1,19,13.05857143,13.05857143,Graduate
0,1,0,0,19,14.3,14.05555556,Graduate
0,1,0,0,19,11.8,12,Graduate
1,1,0,0,19,10.33333333,13,Graduate
1,1,0,0,18,10.57142857,11.66666667,Graduate
1,1,0,0,19,13.33333333,13.33333333,Graduate
0,1,0,0,18,11.85714286,11,Graduate
1,1,0,0,18,12.6,11.4,Graduate
1,1,0,0,18,14,11.6,Graduate
1,1,0,0,18,12,12.66666667,Graduate
0,1,0,0,26,0,0,Dropout
1,1,0,0,20,12,13,Graduate
0,1,0,0,19,12.66666667,11.66666667,Graduate
1,1,0,1,18,12.16666667,13.66666667,Graduate
0,1,0,0,19,13.33333333,14.66666667,Graduate
0,1,0,0,40,15,14.57142857,Graduate
1,1,0,1,18,13.39125,13.39125,Graduate
0,1,0,0,19,12.16666667,12.42857143,Graduate
0,1,0,0,18,11.25,12.5,Graduate
1,1,0,0,19,12,12,Graduate
1,1,0,0,18,0,0,Dropout
1,1,0,0,33,12.83333333,12.85714286,Graduate
0,1,0,0,35,14,13.1,Graduate
1,1,0,0,26,13,12,Graduate
1,1,0,0,18,13.5,12.5,Graduate
0,1,0,0,36,10.69230769,12.30769231,Graduate
0,1,0,0,39,11,11.66666667,Graduate
0,1,0,0,44,13,13.83333333,Graduate
0,1,0,0,20,12,11.25,Graduate
1,1,0,0,24,12.6,11.5,Dropout
0,1,0,1,20,13.66666667,13.33333333,Graduate
1,0,0,0,19,0,0,Dropout
0,1,0,1,18,14.2,14.2,Graduate
0,0,0,0,22,11,0,Dropout
1,1,0,0,18,15,16.42857143,Graduate
0,1,0,0,24,12.58571429,13.44285714,Graduate
0,1,0,0,33,0,0,Dropout
0,1,0,1,30,0,0,Graduate
0,1,0,0,26,0,0,Dropout
1,1,0,0,18,11.66666667,11.83333333,Graduate
0,1,0,0,19,12.66666667,10,Dropout
1,1,0,0,20,10.33333333,11,Graduate
1,1,0,1,22,13.5,13.71428571,Graduate
1,1,0,0,19,13.98,13.98,Graduate
1,1,0,1,21,16.15384615,15.75,Graduate
1,1,0,1,21,14.03333333,14.03333333,Graduate
0,1,0,0,19,11,11.2,Graduate
1,1,0,1,19,13.85714286,13.66666667,Graduate
1,1,0,0,18,13.41428571,13.41428571,Dropout
0,1,0,0,50,13.54545455,13.57142857,Graduate
0,1,0,1,31,11.25,10.83333333,Graduate
0,1,0,1,19,13.83333333,14.42857143,Graduate
0,1,0,0,35,12,12.85714286,Graduate
0,1,0,0,31,0,0,Dropout
0,1,0,0,42,11.9,12.8,Graduate
1,0,0,0,34,0,0,Dropout
1,1,0,1,18,15.13571429,15.2875,Graduate
1,0,0,1,18,12.28571429,13.33333333,Graduate
1,1,0,0,21,12.66666667,13.5,Graduate
0,1,0,1,26,12.74,10.97857143,Dropout
0,1,0,0,20,13.25,13.75,Graduate
0,1,0,0,19,10.33333333,10.33333333,Graduate
0,1,0,1,19,13.42857143,13.16666667,Graduate
0,1,0,0,20,12.55555556,11.11111111,Graduate
0,1,0,0,19,11.5,11.16666667,Graduate
0,1,0,0,18,13.66666667,12.33333333,Graduate
0,1,0,0,28,11.27272727,12,Graduate
1,1,0,0,22,13.16666667,12.4,Graduate
0,1,0,1,21,14.66666667,14.16666667,Graduate
1,1,0,0,21,12.75,11,Graduate
0,1,0,0,26,11.2,12.14,Graduate
1,0,0,0,18,13,11.4,Dropout
0,0,0,0,20,10.5,12.33333333,Dropout
0,1,0,0,18,14.85714286,14,Graduate
1,1,0,1,19,12.86,12.86,Graduate
1,1,0,0,20,11.72727273,12,Graduate
1,1,0,1,22,13.14285714,12,Graduate
1,1,0,0,18,11.8,13.71428571,Dropout
1,1,0,0,19,10.66666667,0,Dropout
0,1,0,1,18,11.6,11.2,Graduate
1,1,0,0,20,10.33333333,10.33333333,Graduate
1,1,0,0,19,12.25,11,Graduate
0,1,0,0,19,12,12.75,Graduate
1,1,0,0,19,14.73142857,14.73142857,Graduate
1,1,0,0,18,0,0,Graduate
1,1,0,0,21,13.61538462,14.25,Graduate
0,1,0,0,27,15.8,14.8,Graduate
0,1,0,0,19,14.66666667,14.57142857,Graduate
0,1,0,0,25,0,0,Dropout
1,1,0,1,18,14.65428571,14.65428571,Graduate
0,1,0,0,24,12.40142857,12.40142857,Graduate
1,1,0,0,20,11.5875,14.07142857,Graduate
0,1,0,0,26,14,15.6,Graduate
1,1,0,1,20,12.33333333,11.83333333,Graduate
0,1,0,0,18,14,15.4,Graduate
1,1,0,0,19,15.23076923,12.375,Graduate
1,1,0,0,23,11.6,11,Dropout
1,1,0,1,18,11.6,11.6,Graduate
0,1,0,0,18,0,0,Dropout
0,1,0,1,19,12.90142857,13.09444444,Graduate
0,1,0,0,30,14.14285714,14.8,Graduate
1,1,0,0,29,0,0,Dropout
1,1,0,0,19,13.25375,13.25375,Graduate
1,1,0,0,20,13.78571429,14.1,Graduate
0,1,0,0,20,13.91666667,13.91666667,Graduate
1,1,0,0,19,13.5,13.57142857,Graduate
1,1,0,0,20,11.33333333,10.66666667,Graduate
1,1,0,0,21,0,0,Dropout
0,1,0,0,19,11.5,14.6,Graduate
1,1,0,1,18,12.08285714,12.08285714,Graduate
0,1,0,1,27,11.83333333,12.8,Graduate
1,1,0,1,19,13.4,12.4,Graduate
0,1,0,1,19,0,0,Dropout
1,1,0,0,19,14.2,14.57142857,Graduate
1,1,0,1,18,13.81428571,13.81428571,Graduate
0,1,0,1,20,11.25,10.5,Graduate
0,1,0,1,18,14.5,13.66666667,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,36,11.3,11.3,Graduate
0,1,0,0,18,0,16,Graduate
1,1,0,0,18,12,12,Graduate
1,1,0,0,19,12.3,12.3,Graduate
1,1,0,1,18,12.69428571,12.69428571,Graduate
0,1,0,0,18,11,11,Graduate
1,1,0,1,19,13,14.16666667,Graduate
0,1,0,1,19,14.4125,16.05,Graduate
1,1,0,0,18,12.92875,14.0625,Dropout
1,1,0,0,20,13.33333333,12.8,Graduate
1,1,0,1,20,12.8,12.8,Graduate
1,1,0,0,20,14.40285714,14.40285714,Graduate
1,1,0,1,18,13.38142857,13.38142857,Graduate
1,1,0,0,18,14.13125,13.98375,Graduate
0,1,0,0,19,11.71428571,12.6,Graduate
1,1,0,0,19,11.8,11.25,Graduate
0,1,0,0,44,11.16666667,11,Graduate
0,1,0,0,32,0,0,Dropout
0,1,0,0,22,13.6,12,Dropout
1,1,0,0,36,13.84615385,14.09090909,Graduate
0,1,0,1,18,12.5,13.33333333,Graduate
1,1,0,0,20,16.4,14.6,Graduate
0,1,0,1,20,13.81818182,13.45454545,Graduate
0,1,0,0,19,10.6,10.5,Graduate
1,1,0,0,24,10.2,12.2,Graduate
0,1,0,0,20,10.6,10.4,Graduate
0,1,0,0,27,11.44444444,10.8,Dropout
1,1,0,0,20,14.33333333,12.625,Graduate
0,1,0,1,23,13,13.26666667,Graduate
1,1,0,1,18,13.31,13.31,Graduate
1,1,0,1,18,10.57142857,12.2,Graduate
1,1,0,1,20,13.48714286,13.48714286,Graduate
0,1,0,1,20,12.33333333,11.83333333,Graduate
0,1,0,0,23,11.875,12.83333333,Dropout
1,1,0,0,20,13.96666667,13.96666667,Graduate
1,0,0,0,28,0,0,Dropout
1,1,0,0,21,11.5,12.8,Graduate
1,1,0,0,21,12.5,0,Dropout
0,1,0,0,28,0,0,Dropout
0,1,0,0,18,11.98,13.225,Graduate
1,1,0,1,21,13.2,11.8,Graduate
0,1,0,0,19,11.61428571,14.0375,Graduate
1,1,0,1,18,14.31428571,14.31428571,Graduate
0,1,0,0,19,0,0,Dropout
0,1,0,0,20,12.66666667,13,Graduate
1,1,0,1,20,12.76666667,12.12857143,Graduate
0,1,0,1,18,12.66666667,12.2,Graduate
1,1,0,0,20,11.5,10.57142857,Dropout
0,1,0,0,31,11.4,11.75,Dropout
1,1,0,1,19,14.70625,14.4775,Graduate
1,1,0,1,19,11.81428571,13.54285714,Graduate
0,1,0,0,23,13,11.875,Graduate
0,1,0,0,19,14.85714286,13.33333333,Graduate
1,1,0,0,20,12.6,12.6,Graduate
1,1,0,0,22,13.33333333,11.4,Graduate
1,1,0,0,18,10.66666667,12.83333333,Graduate
0,0,0,0,27,11.5,11,Dropout
0,1,0,0,29,10,0,Dropout
1,1,0,0,18,11.8,12.2,Graduate
0,1,0,0,18,11.8,12.66666667,Graduate
0,1,0,0,18,12.77125,12.77125,Graduate
1,1,0,0,20,11.33333333,12.6,Graduate
1,1,0,0,18,12.66666667,14.6,Graduate
0,0,0,0,18,12.2,10.83333333,Graduate
0,0,0,0,28,12,0,Dropout
1,1,0,1,18,11.72142857,11.72142857,Graduate
0,1,0,0,27,14,12.525,Graduate
0,1,0,0,26,14.75,13.8,Graduate
1,1,0,0,18,12.66666667,13.66666667,Graduate
0,1,0,0,18,13,14,Dropout
0,1,0,0,21,0,0,Dropout
1,1,0,0,18,10.75,0,Graduate
0,0,0,0,32,0,0,Dropout
0,1,0,0,28,12.5,11.75,Graduate
0,0,0,0,40,0,0,Dropout
0,0,0,0,39,0,0,Dropout
0,0,0,0,39,0,0,Dropout
0,1,0,0,50,12.5,12.4,Graduate
1,1,0,0,23,12.8,11.66666667,Dropout
0,1,0,0,48,10,11,Dropout
1,1,0,0,23,11.25,10.2,Dropout
1,1,0,1,18,12.61,12.61,Graduate
0,1,0,0,18,12,12.6,Graduate
1,0,0,0,20,13,13.5,Graduate
1,1,0,1,18,12,13,Graduate
1,1,0,0,18,12,0,Dropout
0,1,1,0,31,12,11,Dropout
1,1,1,0,24,12,10.5,Graduate
1,1,1,0,24,0,0,Graduate
0,0,1,0,26,0,0,Dropout
1,1,1,0,18,13.625,11.75,Dropout
0,1,1,1,19,11.66666667,11.66666667,Graduate
1,1,1,0,22,0,0,Dropout
1,1,1,0,18,11.69,11.69,Graduate
0,0,1,0,20,0,0,Dropout
0,1,1,0,25,0,0,Graduate
1,1,1,0,24,11.5,11.28571429,Graduate
1,1,1,0,27,14,0,Dropout
0,1,1,0,21,11,12.4,Graduate
1,1,1,0,21,12.85714286,13.16666667,Graduate
1,1,1,0,19,12.5,11.33333333,Dropout
0,1,1,0,28,14.52857143,15.01818182,Graduate
0,1,1,0,20,10,12,Graduate
0,1,1,1,21,13,12.625,Graduate
0,1,1,1,18,15.95714286,15.18888889,Graduate
1,1,1,1,18,13.2,12.6,Graduate
0,1,1,0,20,10.2,11,Graduate
0,1,1,0,25,14.2,13.5,Graduate
0,1,1,0,22,12.625,14.5,Graduate
0,1,1,0,18,13.49666667,13.49666667,Graduate
1,1,1,0,19,13.25,11,Graduate
1,1,1,0,19,12,12,Dropout
1,0,1,0,25,13,13.75,Dropout
0,1,1,0,21,11.77777778,13.66666667,Dropout
1,1,1,0,19,11,0,Dropout
0,1,1,0,20,0,0,Dropout
0,1,1,0,25,12.42857143,10.85714286,Dropout
1,1,1,0,20,11,12,Graduate
1,1,1,0,18,0,0,Graduate
1,1,1,0,23,11.5,10.66666667,Graduate
1,1,1,0,23,12.5075,12.5075,Graduate
0,1,1,0,21,12.09090909,12,Graduate
1,1,1,0,20,11,12.66666667,Graduate
0,1,1,0,25,10,11.33333333,Dropout
1,1,1,0,18,13.5,13.2,Graduate
1,1,1,0,22,14.16666667,13.625,Graduate
0,1,1,0,27,14,14.71428571,Graduate
0,1,1,0,25,0,0,Dropout
1,1,1,0,18,11.66666667,11.33333333,Dropout
0,1,1,0,20,14.6,14.2,Graduate
0,1,1,0,27,13,11.5,Graduate
0,1,1,0,20,12.16666667,12,Graduate
1,1,1,0,22,0,12,Dropout
1,1,1,0,19,10.5,10.8,Dropout
0,1,1,0,20,12.4,10.83333333,Graduate
0,1,1,0,19,0,0,Graduate
1,0,1,0,29,0,0,Dropout
0,1,1,0,19,13.82857143,13.82857143,Graduate
1,1,0,1,28,10.6,10.2,Graduate
0,1,0,0,20,11.5,11.66666667,Graduate
1,1,0,0,20,13.5,13.625,Graduate
1,1,0,0,31,0,0,Dropout
1,1,0,0,18,12.5375,12.61428571,Graduate
1,1,0,0,19,14.83333333,13.28571429,Graduate
1,1,0,0,18,12,12.8,Graduate
0,1,0,0,19,11.8,11.6,Graduate
0,1,0,1,18,15,15.2,Graduate
0,1,0,0,19,12,13.2,Graduate
1,1,0,1,18,12.83333333,12.28571429,Graduate
1,1,0,0,19,11.66666667,12,Graduate
0,1,0,0,19,12.1625,13.825,Graduate
1,1,0,0,18,13.83333333,14.55555556,Graduate
0,1,0,0,19,12.45,11.7,Graduate
0,1,0,1,20,12.125,13.57142857,Graduate
1,1,0,0,20,13.4,13,Graduate
0,1,0,0,20,13.33333333,14,Graduate
